19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 9.844 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 2 decay
1000000 simulated events
315244 hits
total efficiency: 0.3152(6)

Strip	CMtheta	hits	Eff	delEff
0	162.453	34285	0.034285	1.8516209115258987E-4
1	159.06	37451	0.037451	1.9352260849833541E-4
2	155.427	37407	0.037407	1.9340889328053144E-4
3	151.651	34725	0.034725	1.8634645153584224E-4
4	147.699	29141	0.029141	1.7070735192135106E-4
5	143.877	21900	0.0219	1.479864858694874E-4
6	139.862	13396	0.013396	1.157410903698423E-4
7	136.191	6568	0.006568	8.104319835741924E-5
8	131.967	2316	0.002316	4.812483766206386E-5
9	121.426	1408	0.001408	3.752332607858744E-5
10	116.461	3681	0.003681	6.0671245248470053E-5
11	113.598	8270	0.00827	9.093954035511726E-5
12	110.327	13954	0.013954	1.1812705024675762E-4
13	106.898	19639	0.019639	1.401392164955977E-4
14	103.538	24027	0.024027	1.5500645147864008E-4
15	100.272	27076	0.027076	1.6454786537661314E-4
