19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 12.049 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 0 decay
1000000 simulated events
347441 hits
total efficiency: 0.3474(6)

Strip	CMtheta	hits	Eff	delEff
0	163.405	8141	0.008141	9.022749026765624E-5
1	159.964	10345	0.010345	1.0171037311896953E-4
2	156.313	12577	0.012577	1.1214722466472366E-4
3	152.466	15258	0.015258	1.2352327715859873E-4
4	148.516	17808	0.017808	1.3344661854089822E-4
5	144.475	20133	0.020133	1.418908030846256E-4
6	140.354	22394	0.022394	1.4964624953536256E-4
7	136.166	24653	0.024653	1.5701273833673498E-4
8	131.996	25953	0.025953	1.6109934822959403E-4
9	127.871	27189	0.027189	1.6489087300393556E-4
10	123.843	27973	0.027973	1.6725130791715801E-4
11	119.911	27893	0.027893	1.6701197561851667E-4
12	116.105	28014	0.028014	1.6737383308032351E-4
13	112.49	27156	0.027156	1.6479077644091615E-4
14	109.001	26493	0.026493	1.6276670421188727E-4
15	105.758	25461	0.025461	1.5956503376366642E-4
