19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 10.356 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 4 decay
1000000 simulated events
293882 hits
total efficiency: 0.2939(5)

Strip	CMtheta	hits	Eff	delEff
0	164.901	27989	0.027989	1.6729913329123974E-4
1	162.162	20995	0.020995	1.448965147959053E-4
2	159.269	12063	0.012063	1.0983168941612435E-4
3	153.896	5848	0.005848	7.647221717722065E-5
4	143.272	6148	0.006148	7.840918313565063E-5
5	139.247	14141	0.014141	1.1891593669479293E-4
6	136.52	27052	0.027052	1.6447492210060473E-4
7	133.19	38993	0.038993	1.9746645284705958E-4
8	129.517	42800	0.0428	2.06881608655772E-4
9	125.796	37388	0.037388	1.933597683076808E-4
10	122.134	25422	0.025422	1.5944277970482076E-4
11	118.64	12495	0.012495	1.1178103595869917E-4
12	115.417	3631	0.003631	6.025777958073132E-5
13	107.452	1620	0.00162	4.024922359499622E-5
14	103.624	5329	0.005329	7.3E-5
15	101.135	11968	0.011968	1.0939835464941874E-4
