27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 7.832 MeV
Ex(final 26Al) = 0.228 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
46652 hits
total efficiency: 0.04665(22)

Strip	CMtheta	hits	Eff	delEff
0	168.909	737	7.37E-4	2.7147743920996456E-5
1	166.602	953	9.53E-4	3.087069808086626E-5
2	164.09	1262	0.001262	3.552463933666322E-5
3	161.391	1614	0.001614	4.017461885320133E-5
4	158.763	1894	0.001894	4.3520110293977886E-5
5	155.962	2351	0.002351	4.8487111689602627E-5
6	153.12	2778	0.002778	5.270673581241776E-5
7	150.205	3040	0.00304	5.513619500836089E-5
8	147.281	3498	0.003498	5.914389233048498E-5
9	144.303	3743	0.003743	6.118006211176971E-5
10	141.349	4102	0.004102	6.404685784642366E-5
11	138.42	4119	0.004119	6.417943595888016E-5
12	135.576	4384	0.004384	6.621178142898739E-5
13	132.762	4204	0.004204	6.48382603097893E-5
14	130.111	4064	0.004064	6.37495098020369E-5
15	127.473	3909	0.003909	6.252199612936234E-5
