27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.671 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
245015 hits
total efficiency: 0.2450(5)

Strip	CMtheta	hits	Eff	delEff
0	166.157	5484	0.005484	7.405403432629447E-5
1	163.262	7105	0.007105	8.429116205154606E-5
2	160.223	8647	0.008647	9.298924669014154E-5
3	157.03	10297	0.010297	1.014741346353838E-4
4	153.756	11881	0.011881	1.09E-4
5	150.389	13407	0.013407	1.157886004751763E-4
6	147.001	15148	0.015148	1.230772115381235E-4
7	143.552	16429	0.016429	1.2817566071606575E-4
8	140.104	17522	0.017522	1.323706916201619E-4
9	136.675	18936	0.018936	1.376081392941566E-4
10	133.331	19401	0.019401	1.392874725163753E-4
11	130.031	20202	0.020202	1.4213373983681707E-4
12	126.834	20544	0.020544	1.4333178293735133E-4
13	123.743	20082	0.020082	1.4171097346359597E-4
14	120.799	20258	0.020258	1.4233060106667153E-4
15	117.984	19672	0.019672	1.402569071382939E-4
