27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 7.832 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
219443 hits
total efficiency: 0.2194(5)

Strip	CMtheta	hits	Eff	delEff
0	167.203	4653	0.004653	6.821290200541244E-5
1	164.502	6007	0.006007	7.750483855863451E-5
2	161.707	7183	0.007183	8.475258108164022E-5
3	158.704	8969	0.008969	9.470480452437458E-5
4	155.683	10380	0.01038	1.0188228501560023E-4
5	152.547	11749	0.011749	1.0839280418920807E-4
6	149.347	13449	0.013449	1.1596982366115764E-4
7	146.104	14550	0.01455	1.2062338081814819E-4
8	142.861	15748	0.015748	1.2549103553640794E-4
9	139.633	16706	0.016706	1.2925169244539897E-4
10	136.406	17853	0.017853	1.3361511890501015E-4
11	133.286	18404	0.018404	1.3566134305689298E-4
12	130.207	18400	0.0184	1.3564659966250537E-4
13	127.257	18622	0.018622	1.3646244904734784E-4
14	124.386	18572	0.018572	1.362791253273956E-4
15	121.642	18198	0.018198	1.348999629355027E-4
