27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.671 MeV
Ex(final 26Al) = 0.417 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
235676 hits
total efficiency: 0.2357(5)

Strip	CMtheta	hits	Eff	delEff
0	166.572	5210	0.00521	7.218032973047436E-5
1	163.684	6575	0.006575	8.108637370113428E-5
2	160.737	8035	0.008035	8.963816151617569E-5
3	157.63	9832	0.009832	9.915644204992432E-5
4	154.432	11185	0.011185	1.0575916035975324E-4
5	151.148	12600	0.0126	1.1224972160321825E-4
6	147.829	14367	0.014367	1.1986242113356462E-4
7	144.453	15806	0.015806	1.2572191535289304E-4
8	141.077	17065	0.017065	1.306330739131557E-4
9	137.72	18033	0.018033	1.3428700607281404E-4
10	134.41	18890	0.01889	1.3744089638822936E-4
11	131.185	19622	0.019622	1.4007854939283173E-4
12	128.025	19488	0.019488	1.395994269329212E-4
13	124.98	19967	0.019967	1.4130463545121227E-4
14	122.058	19825	0.019825	1.4080127840328724E-4
15	119.264	19176	0.019176	1.3847743498491007E-4
