27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.671 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
10000000 simulated events
2448760 hits
total efficiency: 0.24488(16)

Strip	CMtheta	hits	Eff	delEff
0	166.184	55001	0.0055001	2.345229199886442E-5
1	163.257	69515	0.0069515	2.6365697411599034E-5
2	160.206	85681	0.0085681	2.927131701854223E-5
3	157.04	101675	0.0101675	3.188651752700505E-5
4	153.764	118358	0.0118358	3.4403197525811465E-5
5	150.405	134802	0.0134802	3.671539186771673E-5
6	146.995	150750	0.015075	3.882653731663435E-5
7	143.556	165812	0.0165812	4.0720019646360686E-5
8	140.108	178260	0.017826	4.2220847930850465E-5
9	136.692	188257	0.0188257	4.338859297096415E-5
10	133.319	196626	0.0196626	4.434253037434828E-5
11	130.03	201085	0.0201085	4.484250216033891E-5
12	126.835	202875	0.0202875	4.504164739438379E-5
13	123.752	202819	0.0202819	4.503543049644357E-5
14	120.798	200829	0.0200829	4.481394872135237E-5
15	117.975	196415	0.0196415	4.431873193131771E-5
