27Al(3He,2H)28Si(4He)24Mg
Ex(residual 28Si) = 12.7425 MeV
Ex(final 24Mg) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
10000000 simulated events
2370826 hits
total efficiency: 0.23708(15)

Strip	CMtheta	hits	Eff	delEff
0	166.479	52529	0.0052529	2.2919205919926634E-5
1	163.619	66392	0.0066392	2.5766645105639965E-5
2	160.635	81337	0.0081337	2.851964235399876E-5
3	157.529	97904	0.0097904	3.128961489056713E-5
4	154.318	113958	0.0113958	3.375766579608252E-5
5	151.033	130028	0.0130028	3.6059395446956676E-5
6	147.684	145760	0.014576	3.8178527996768024E-5
7	144.301	159302	0.0159302	3.991265463483981E-5
8	140.913	171991	0.0171991	4.147179764611127E-5
9	137.548	182000	0.0182	4.266145801540308E-5
10	134.224	190473	0.0190473	4.3643212530701726E-5
11	130.98	194655	0.0194655	4.4119723480547785E-5
12	127.822	197952	0.0197952	4.449179699674986E-5
13	124.769	197974	0.0197974	4.4494269293921436E-5
14	121.845	196228	0.0196228	4.429762973342931E-5
15	119.042	192343	0.0192343	4.385692647689758E-5
