27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.073 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
10000000 simulated events
2324673 hits
total efficiency: 0.23247(15)

Strip	CMtheta	hits	Eff	delEff
0	166.687	50793	0.0050793	2.2537302411779454E-5
1	163.87	65106	0.0065106	2.5515877409957903E-5
2	160.928	79219	0.0079219	2.8145870034518384E-5
3	157.866	95385	0.0095385	3.0884462112848914E-5
4	154.702	110662	0.0110662	3.3265898454723875E-5
5	151.457	126501	0.0126501	3.5566979067668936E-5
6	148.151	142165	0.0142165	3.770477423351053E-5
7	144.813	155585	0.0155585	3.9444264475332785E-5
8	141.461	168177	0.0168177	4.100938916882328E-5
9	138.126	177994	0.0177994	4.218933514527101E-5
10	134.839	187264	0.0187264	4.3274010676155265E-5
11	131.618	191554	0.0191554	4.376688245694454E-5
12	128.488	194686	0.0194686	4.412323650866967E-5
13	125.463	195117	0.0195117	4.417204998638845E-5
14	122.551	193835	0.0193835	4.402669644658795E-5
15	119.773	190630	0.019063	4.366119558601207E-5
