27Al(3He,2H)28Si(4He)24Mg
Ex(residual 28Si) = 13.2469 MeV
Ex(final 24Mg) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
10000000 simulated events
2395484 hits
total efficiency: 0.23955(16)

Strip	CMtheta	hits	Eff	delEff
0	166.378	53164	0.0053164	2.3057319878945167E-5
1	163.507	67561	0.0067561	2.599249891795708E-5
2	160.502	83294	0.0083294	2.886069992221256E-5
3	157.378	98949	0.0098949	3.1456159969074416E-5
4	154.151	114797	0.0114797	3.388170597830044E-5
5	150.842	131403	0.0131403	3.6249551721366155E-5
6	147.475	147086	0.0147086	3.835179265692804E-5
7	144.078	162036	0.0162036	4.0253695482526816E-5
8	140.672	174165	0.0174165	4.1733080403919384E-5
9	137.282	184036	0.0184036	4.2899417245459175E-5
10	133.955	192273	0.0192273	4.384894525527382E-5
11	130.695	197167	0.0197167	4.4403490853760586E-5
12	127.526	199611	0.0199611	4.467784685948954E-5
13	124.463	199383	0.0199383	4.4652323567760725E-5
14	121.527	197249	0.0197249	4.441272340219636E-5
15	118.722	193310	0.019331	4.3967033104361274E-5
