27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.358 MeV
Ex(final 26Al) = 0.417 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
10000000 simulated events
2244708 hits
total efficiency: 0.22447(15)

Strip	CMtheta	hits	Eff	delEff
0	167.023	48633	0.0048633	2.205289096694581E-5
1	164.273	61198	0.0061198	2.473822952436168E-5
2	161.404	75259	0.0075259	2.7433373835531056E-5
3	158.408	90969	0.0090969	3.016106762036119E-5
4	155.312	105287	0.0105287	3.244795833330658E-5
5	152.147	121453	0.0121453	3.4850107603851095E-5
6	148.909	136629	0.0136629	3.696336023686158E-5
7	145.632	150215	0.0150215	3.8757579903807206E-5
8	142.345	162174	0.0162174	4.0270833117778926E-5
9	139.075	172801	0.0172801	4.156933966278512E-5
10	135.838	180635	0.0180635	4.2501176454305355E-5
11	132.665	186117	0.0186117	4.314127953596184E-5
12	129.573	188868	0.0188868	4.345894614460871E-5
13	126.588	190130	0.019013	4.3603898908239845E-5
14	123.711	188686	0.0188686	4.3438001795662746E-5
15	120.96	185654	0.0185654	4.308758521894677E-5
