27Al(3He,2H)28Si(4He)24Mg
Ex(residual 28Si) = 12.2658 MeV
Ex(final 24Mg) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
10000000 simulated events
2345536 hits
total efficiency: 0.23455(15)

Strip	CMtheta	hits	Eff	delEff
0	166.595	51468	0.0051468	2.2686559897877864E-5
1	163.771	65198	0.0065198	2.5533899036379073E-5
2	160.805	80477	0.0080477	2.836846841124843E-5
3	157.717	95990	0.009599	3.098225298457167E-5
4	154.541	112244	0.0112244	3.350283570087762E-5
5	151.28	128270	0.012827	3.581480140947315E-5
6	147.96	142861	0.0142861	3.779695754951713E-5
7	144.6	157226	0.0157226	3.9651733883904754E-5
8	141.235	169888	0.0169888	4.121747202340289E-5
9	137.891	180818	0.0180818	4.252269982021367E-5
10	134.582	188022	0.0188022	4.3361503663964424E-5
11	131.354	194290	0.019429	4.407833935165888E-5
12	128.208	195942	0.0195942	4.426533632539122E-5
13	125.173	196851	0.0196851	4.43678937972043E-5
14	122.256	194818	0.0194818	4.413819207896943E-5
15	119.471	191173	0.0191173	4.3723334731010625E-5
