27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.184 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
10000000 simulated events
2357341 hits
total efficiency: 0.23573(15)

Strip	CMtheta	hits	Eff	delEff
0	166.545	51919	0.0051919	2.2785741155380483E-5
1	163.69	65527	0.0065527	2.5598242127146154E-5
2	160.712	80906	0.0080906	2.8443980030930976E-5
3	157.625	97026	0.0097026	3.114899677357202E-5
4	154.434	112999	0.0112999	3.361532388658482E-5
5	151.152	128575	0.0128575	3.5857356288494E-5
6	147.822	144199	0.0144199	3.797354342170348E-5
7	144.456	158297	0.0158297	3.9786555518164674E-5
8	141.075	171700	0.01717	4.1436698710201324E-5
9	137.714	182033	0.0182033	4.266532549975448E-5
10	134.403	189110	0.018911	4.348677960024173E-5
11	131.163	193799	0.0193799	4.402260782825115E-5
12	128.014	197381	0.0197381	4.442758152319345E-5
13	124.976	196865	0.0196865	4.436947148659763E-5
14	122.051	194970	0.019497	4.41554073698794E-5
15	119.26	192035	0.0192035	4.3821798228735436E-5
