27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.207 MeV
Ex(final 26Al) = 0.417 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
10000000 simulated events
2137649 hits
total efficiency: 0.21376(15)

Strip	CMtheta	hits	Eff	delEff
0	167.471	45009	0.0045009	2.1215324649884574E-5
1	164.829	57956	0.0057956	2.4074052421642683E-5
2	162.044	70465	0.0070465	2.65452443951831E-5
3	159.17	84689	0.0084689	2.91013745379836E-5
4	156.17	99279	0.0099279	3.150857026270789E-5
5	153.089	114286	0.0114286	3.3806212446826984E-5
6	149.95	127289	0.0127289	3.567758399892011E-5
7	146.771	141653	0.0141653	3.763681708115074E-5
8	143.575	153544	0.0153544	3.918469088815172E-5
9	140.374	163756	0.0163756	4.046677649628149E-5
10	137.214	172061	0.0172061	4.148023625776497E-5
11	134.109	179052	0.0179052	4.231453650933684E-5
12	131.077	181312	0.0181312	4.258074682294804E-5
13	128.143	183260	0.018326	4.280887758397783E-5
14	125.31	183773	0.0183773	4.2868753189240296E-5
15	122.597	180265	0.0180265	4.245762593457152E-5
