27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 7.832 MeV
Ex(final 26Al) = 0.228 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
10000000 simulated events
1504179 hits
total efficiency: 0.15042(12)

Strip	CMtheta	hits	Eff	delEff
0	168.785	35909	0.0035909	1.8949670181826387E-5
1	166.429	45888	0.0045888	2.1421484542393415E-5
2	163.947	56680	0.005668	2.380756182392477E-5
3	161.34	68993	0.0068993	2.6266518612103893E-5
4	158.651	81274	0.0081274	2.8508595195133694E-5
5	155.878	92896	0.0092896	3.0478845122477986E-5
6	153.038	103541	0.0103541	3.217778736955044E-5
7	150.138	112074	0.0112074	3.347745510041049E-5
8	147.191	117415	0.0117415	3.426587223463019E-5
9	144.243	121894	0.0121894	3.491332123989352E-5
10	141.297	122611	0.0122611	3.501585355235539E-5
11	138.396	120701	0.0120701	3.474204945019795E-5
12	135.535	116572	0.0116572	3.414264195987182E-5
13	132.764	110215	0.0110215	3.319864455064393E-5
14	130.064	103189	0.0103189	3.212304468757593E-5
15	127.472	94327	0.0094327	3.071270095579352E-5
