27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 7.741 MeV
Ex(final 26Al) = 0.228 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
10000000 simulated events
368428 hits
total efficiency: 0.03684(6)

Strip	CMtheta	hits	Eff	delEff
0	171.409	7758	7.758E-4	8.807950953541919E-6
1	169.704	9977	9.977E-4	9.988493379884677E-6
2	167.856	12414	0.0012414	1.1141813137905337E-5
3	165.958	15054	0.0015054	1.2269474316367428E-5
4	163.91	17845	0.0017845	1.3358517881860996E-5
5	161.778	20369	0.0020369	1.4272000560538107E-5
6	159.563	23415	0.0023415	1.5301960658686848E-5
7	157.224	25692	0.0025692	1.602872421623131E-5
8	154.856	27531	0.0027531	1.65924681708298E-5
9	152.458	29340	0.002934	1.7128922908344236E-5
10	149.994	31030	0.003103	1.7615334229017624E-5
11	147.554	30873	0.0030873	1.7570714271195693E-5
12	145.115	31040	0.003104	1.7618172436436193E-5
13	142.683	30377	0.0030377	1.7428998823799375E-5
14	140.296	28751	0.0028751	1.6956119839161318E-5
15	137.942	26962	0.0026962	1.6420109622045767E-5
