27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.226 MeV
Ex(final 26Al) = 0.228 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
10000000 simulated events
2281038 hits
total efficiency: 0.22810(15)

Strip	CMtheta	hits	Eff	delEff
0	166.86	49562	0.0049562	2.2262524564837654E-5
1	164.077	62533	0.0062533	2.500659912902992E-5
2	161.169	77184	0.0077184	2.778200856669654E-5
3	158.15	92910	0.009291	3.0481141710900527E-5
4	155.023	108351	0.0108351	3.291671308013606E-5
5	151.808	123328	0.0123328	3.511808650823675E-5
6	148.545	138738	0.0138738	3.7247550255016774E-5
7	145.242	152518	0.0152518	3.90535529753696E-5
8	141.92	165247	0.0165247	4.065058425164391E-5
9	138.622	175845	0.0175845	4.19338765200643E-5
10	135.359	183486	0.0183486	4.2835265844861985E-5
11	132.168	188322	0.0188322	4.339608277252683E-5
12	129.055	192138	0.0192138	4.383354879541468E-5
13	126.046	192971	0.0192971	4.3928464575944375E-5
14	123.155	190141	0.0190141	4.3605160245090255E-5
15	120.388	187764	0.0187764	4.3331743560581544E-5
