12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 2.365 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 6.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
10000000 simulated events
1676623 hits
total efficiency: 0.16766(13)

Strip	CMtheta	hits	Eff	delEff
0	169.131	31843	0.0031843	1.7844607028455402E-5
1	167.007	40585	0.0040585	2.014571914824586E-5
2	164.744	50223	0.0050223	2.2410488615824512E-5
3	162.353	61090	0.006109	2.471639132235934E-5
4	159.862	72209	0.0072209	2.6871732359488846E-5
5	157.254	83715	0.0083715	2.893354454608007E-5
6	154.579	95786	0.0095786	3.094931340110795E-5
7	151.811	106607	0.0106607	3.2650727403842015E-5
8	149.034	117606	0.0117606	3.429373120557167E-5
9	146.215	127556	0.0127556	3.571498285033887E-5
10	143.385	136686	0.0136686	3.6971069770835684E-5
11	140.58	142768	0.0142768	3.7784652969161965E-5
12	137.803	148208	0.0148208	3.8497792144485377E-5
13	135.103	153080	0.015308	3.9125439294658405E-5
14	132.471	154277	0.0154277	3.927811095253946E-5
15	129.916	154384	0.0154384	3.9291729409635306E-5
