27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.184 MeV
Ex(final 26Al) = 0.417 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
10000000 simulated events
2114300 hits
total efficiency: 0.21143(15)

Strip	CMtheta	hits	Eff	delEff
0	167.572	44413	0.0044413	2.1074392043425594E-5
1	164.943	56553	0.0056553	2.3780874668523024E-5
2	162.192	69621	0.0069621	2.638579163110328E-5
3	159.33	83815	0.0083815	2.8950820368341898E-5
4	156.357	98142	0.0098142	3.132762359324435E-5
5	153.301	111496	0.0111496	3.3391016756007896E-5
6	150.18	126687	0.0126687	3.5593117312199556E-5
7	147.017	139485	0.0139485	3.734769069166125E-5
8	143.839	152317	0.0152317	3.902781059706014E-5
9	140.662	162173	0.0162173	4.0270708958249047E-5
10	137.511	170020	0.017002	4.123348154109716E-5
11	134.426	176751	0.0176751	4.204176494867931E-5
12	131.405	180417	0.0180417	4.247552236288566E-5
13	128.478	181946	0.0181946	4.265512864826456E-5
14	125.654	181182	0.0181182	4.256547897064004E-5
15	122.948	179282	0.0179282	4.234170520893083E-5
