12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 3.547 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
10000000 simulated events
2180156 hits
total efficiency: 0.21802(15)

Strip	CMtheta	hits	Eff	delEff
0	167.292	46405	0.0046405	2.1541819793137257E-5
1	164.591	59237	0.0059237	2.433865238668731E-5
2	161.799	72459	0.0072459	2.6918209450110164E-5
3	158.859	87287	0.0087287	2.9544373406792703E-5
4	155.831	102239	0.0102239	3.197483385414223E-5
5	152.715	116512	0.0116512	3.4133854162693084E-5
6	149.534	131621	0.0131621	3.6279608597668195E-5
7	146.319	144801	0.0144801	3.805272657773684E-5
8	143.076	157136	0.0157136	3.9640383449204924E-5
9	139.851	166323	0.0166323	4.0782716927639823E-5
10	136.656	175649	0.0175649	4.1910499877715606E-5
11	133.531	181493	0.0181493	4.2601995258438307E-5
12	130.474	184387	0.0184387	4.2940307404582E-5
13	127.517	186303	0.0186303	4.316283123243887E-5
14	124.665	185389	0.0185389	4.305682292041529E-5
15	121.933	182915	0.0182915	4.276856322113241E-5
