12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 2.365 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
10000000 simulated events
1690232 hits
total efficiency: 0.16902(13)

Strip	CMtheta	hits	Eff	delEff
0	169.338	32173	0.0032173	1.7936833611315016E-5
1	167.13	41040	0.004104	2.025833161936096E-5
2	164.78	51058	0.0051058	2.2596017348196564E-5
3	162.346	61670	0.006167	2.4833445189904683E-5
4	159.779	73243	0.0073243	2.7063443978917393E-5
5	157.133	85097	0.0085097	2.9171390093720254E-5
6	154.412	96384	0.0096384	3.104577265909161E-5
7	151.623	107811	0.0107811	3.283458542451846E-5
8	148.808	118916	0.0118916	3.448419928025008E-5
9	145.971	128655	0.0128655	3.5868509865897694E-5
10	143.122	137332	0.0137332	3.7058332396372074E-5
11	140.31	143451	0.0143451	3.787492574250146E-5
12	137.533	149278	0.0149278	3.8636511229664614E-5
13	134.821	153878	0.0153878	3.92272864215714E-5
14	132.188	155153	0.0155153	3.938946559678108E-5
15	129.635	155093	0.0155093	3.93818486107496E-5
