27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.525 MeV
Ex(final 26Al) = 0.417 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
10000000 simulated events
2318312 hits
total efficiency: 0.23183(15)

Strip	CMtheta	hits	Eff	delEff
0	166.72	50783	0.0050783	2.253508375844208E-5
1	163.912	64274	0.0064274	2.5352317448312294E-5
2	160.971	78946	0.0078946	2.809733083408458E-5
3	157.924	94766	0.0094766	3.078408679821443E-5
4	154.769	110148	0.0110148	3.318855224320579E-5
5	151.526	125927	0.0125927	3.5486194498706114E-5
6	148.224	141510	0.014151	3.761781492856809E-5
7	144.892	154927	0.0154927	3.936076726894434E-5
8	141.551	167512	0.0167512	4.092822986643815E-5
9	138.222	178447	0.0178447	4.224298758373986E-5
10	134.941	186160	0.018616	4.314626287408911E-5
11	131.727	191242	0.0191242	4.373122454265373E-5
12	128.596	194745	0.0194745	4.412992182182062E-5
13	125.578	194817	0.0194817	4.4138078798244036E-5
14	122.671	193840	0.019384	4.4027264280216184E-5
15	119.893	190268	0.0190268	4.361972031088691E-5
