19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 9.844 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 2 decay
1000000 simulated events
299836 hits
total efficiency: 0.2998(5)

Strip	CMtheta	hits	Eff	delEff
0	161.225	36121	0.036121	1.9005525512334564E-4
1	157.638	37776	0.037776	1.9436048981210147E-4
2	153.782	36404	0.036404	1.9079832284378182E-4
3	149.855	32310	0.03231	1.797498261473429E-4
4	145.818	25247	0.025247	1.5889304578866882E-4
5	141.888	17047	0.017047	1.3056416047292613E-4
6	138.019	9500	0.0095	9.746794344808964E-5
7	134.303	3879	0.003879	6.228161847608008E-5
8	127.652	1365	0.001365	3.694590640382233E-5
9	118.069	1996	0.001996	4.467661580737735E-5
10	115.309	5220	0.00522	7.224956747275377E-5
11	112.188	9952	0.009952	9.975971130671941E-5
12	109.006	15090	0.01509	1.2284136111261548E-4
13	105.716	19628	0.019628	1.4009996431120175E-4
14	102.541	23145	0.023145	1.5213480864023195E-4
15	99.478	25156	0.025156	1.5860643114325472E-4
