19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 11.52 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 2 decay
1000000 simulated events
271694 hits
total efficiency: 0.2717(5)

Strip	CMtheta	hits	Eff	delEff
0	162.247	33491	0.033491	1.8300546439929056E-4
1	158.636	36225	0.036225	1.903286631067428E-4
2	154.893	35722	0.035722	1.890026454841307E-4
3	151.056	32711	0.032711	1.8086182571233766E-4
4	147.015	27401	0.027401	1.6553247415537534E-4
5	143.067	20242	0.020242	1.4227438279606065E-4
6	139.073	12438	0.012438	1.1152578177264663E-4
7	135.304	6167	0.006167	7.853024894905147E-5
8	131.915	2012	0.002012	4.485532298401161E-5
9	125.19	569	5.69E-4	2.3853720883753126E-5
10	118.998	1673	0.001673	4.090232267243512E-5
11	116.219	4718	0.004718	6.868769904429759E-5
12	113.041	8687	0.008687	9.320407716403827E-5
13	109.861	13045	0.013045	1.1421471008587292E-4
14	106.732	16719	0.016719	1.2930197214273262E-4
15	103.761	19874	0.019874	1.409751751195933E-4
