27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 7.795 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
217431 hits
total efficiency: 0.2174(5)

Strip	CMtheta	hits	Eff	delEff
0	167.335	4697	0.004697	6.853466276272176E-5
1	164.632	5913	0.005913	7.689603370785778E-5
2	161.841	7238	0.007238	8.507643622061282E-5
3	158.953	8426	0.008426	9.179324593890336E-5
4	155.919	10286	0.010286	1.0141991914806479E-4
5	152.818	11671	0.011671	1.0803240254664338E-4
6	149.653	13036	0.013036	1.1417530380953667E-4
7	146.428	14479	0.014479	1.203287164395931E-4
8	143.218	15578	0.015578	1.248118584109699E-4
9	140.006	16786	0.016786	1.2956079653969407E-4
10	136.794	17506	0.017506	1.3231024147812597E-4
11	133.681	18006	0.018006	1.341864374666829E-4
12	130.635	18593	0.018593	1.3635615130972272E-4
13	127.685	18619	0.018619	1.3645145656972663E-4
14	124.831	18353	0.018353	1.3547324459095236E-4
15	122.116	18244	0.018244	1.3507035203922437E-4
