27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 7.651 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
189817 hits
total efficiency: 0.1898(4)

Strip	CMtheta	hits	Eff	delEff
0	168.171	4016	0.004016	6.337191807101943E-5
1	165.696	5105	0.005105	7.1449282711585E-5
2	163.028	6316	0.006316	7.94732659452221E-5
3	160.324	7543	0.007543	8.685044617041412E-5
4	157.476	9129	0.009129	9.554580053565934E-5
5	154.554	10067	0.010067	1.0033444074693395E-4
6	151.56	11357	0.011357	1.0656922632730332E-4
7	148.53	12904	0.012904	1.1359577456930342E-4
8	145.472	13849	0.013849	1.176817742898194E-4
9	142.414	15162	0.015162	1.2313407326974935E-4
10	139.357	15850	0.01585	1.2589678312014172E-4
11	136.347	16486	0.016486	1.2839781929612358E-4
12	133.422	16990	0.01699	1.303456942135029E-4
13	130.611	16273	0.016273	1.2756566936288148E-4
14	127.847	14956	0.014956	1.2229472596968357E-4
15	125.193	13814	0.013814	1.1753297409663384E-4
