27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.354 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
1000000 simulated events
240109 hits
total efficiency: 0.2401(5)

Strip	CMtheta	hits	Eff	delEff
0	166.372	5308	0.005308	7.285602240034794E-5
1	163.492	6938	0.006938	8.32946576918352E-5
2	160.504	8345	0.008345	9.135097153287424E-5
3	157.369	9998	0.009998	9.998999949994999E-5
4	154.131	11687	0.011687	1.0810642904101495E-4
5	150.806	12984	0.012984	1.1394735626595292E-4
6	147.463	14769	0.014769	1.2152777460317456E-4
7	144.058	16037	0.016037	1.2663727729227283E-4
8	140.645	17189	0.017189	1.3110682667199293E-4
9	137.248	18379	0.018379	1.3556917053666738E-4
10	133.93	19210	0.01921	1.386001443000692E-4
11	130.646	19718	0.019718	1.4042079618062277E-4
12	127.491	20205	0.020205	1.421442928857856E-4
13	124.42	19931	0.019931	1.4117719362559945E-4
14	121.498	19741	0.019741	1.405026690137949E-4
15	118.697	19670	0.01967	1.4024977718342374E-4
