27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.299 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
1000000 simulated events
238110 hits
total efficiency: 0.2381(5)

Strip	CMtheta	hits	Eff	delEff
0	166.423	5270	0.00527	7.259476565152615E-5
1	163.582	6796	0.006796	8.24378553820998E-5
2	160.52	8104	0.008104	9.00222194794152E-5
3	157.421	10063	0.010063	1.0031450543166725E-4
4	154.225	11417	0.011417	1.0685036265731624E-4
5	150.914	13149	0.013149	1.1466908912169835E-4
6	147.558	14641	0.014641	1.21E-4
7	144.165	16063	0.016063	1.267398911156231E-4
8	140.769	17192	0.017192	1.3111826722467013E-4
9	137.384	18299	0.018299	1.3527379642783743E-4
10	134.067	19428	0.019428	1.393843606722074E-4
11	130.805	19339	0.019339	1.3906473312813713E-4
12	127.649	19859	0.019859	1.4092196422133777E-4
13	124.585	19740	0.01974	1.4049911031746785E-4
14	121.658	19524	0.019524	1.3972830779766855E-4
15	118.836	19226	0.019226	1.3865785228395832E-4
