27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.864 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
1000000 simulated events
246387 hits
total efficiency: 0.2464(5)

Strip	CMtheta	hits	Eff	delEff
0	166.082	5410	0.00541	7.355270219373316E-5
1	163.175	7068	0.007068	8.40713982279348E-5
2	160.091	8507	0.008507	9.223339959038699E-5
3	156.894	10284	0.010284	1.0141005867269774E-4
4	153.603	12249	0.012249	1.106752004741803E-4
5	150.252	13703	0.013703	1.1705981377056774E-4
6	146.79	15027	0.015027	1.2258466462000865E-4
7	143.337	16553	0.016553	1.2865846260545785E-4
8	139.88	18127	0.018127	1.3463654778699577E-4
9	136.428	19058	0.019058	1.3805071531868278E-4
10	133.07	19812	0.019812	1.4075510647930327E-4
11	129.771	20058	0.020058	1.4162626874983326E-4
12	126.565	20345	0.020345	1.4263590010933432E-4
13	123.461	20367	0.020367	1.4271299870719555E-4
14	120.497	20149	0.020149	1.4194717327231283E-4
15	117.671	19670	0.01967	1.4024977718342374E-4
