12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 3.547 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 2 decay
1000000 simulated events
243208 hits
total efficiency: 0.2432(5)

Strip	CMtheta	hits	Eff	delEff
0	167.315	20106	0.020106	1.417956275771577E-4
1	164.647	23339	0.023339	1.5277107055984126E-4
2	161.843	26685	0.026685	1.6335544068074378E-4
3	158.916	28107	0.028107	1.6765142409177442E-4
4	155.895	28642	0.028642	1.6923947530053383E-4
5	152.807	27309	0.027309	1.6525434941326052E-4
6	149.637	24539	0.024539	1.566492898164559E-4
7	146.44	21148	0.021148	1.454235194182839E-4
8	143.207	16702	0.016702	1.2923621783385647E-4
9	140.015	11913	0.011913	1.0914669028422254E-4
10	136.872	7669	0.007669	8.757282683572571E-5
11	133.813	4187	0.004187	6.470703207534711E-5
12	130.872	1740	0.00174	4.171330722922842E-5
13	128.471	379	3.79E-4	1.9467922333931786E-5
14	123.81	90	9.0E-5	9.486832980505138E-6
15	121.214	653	6.53E-4	2.5553864678361275E-5
