12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 3.547 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
1000000 simulated events
218714 hits
total efficiency: 0.2187(5)

Strip	CMtheta	hits	Eff	delEff
0	167.321	4718	0.004718	6.868769904429759E-5
1	164.628	5939	0.005939	7.706490770772389E-5
2	161.807	7248	0.007248	8.513518661517105E-5
3	158.87	8762	0.008762	9.360555539069248E-5
4	155.82	10084	0.010084	1.0041912168506554E-4
5	152.727	11833	0.011833	1.0877959367454909E-4
6	149.531	13104	0.013104	1.1447270417003348E-4
7	146.331	14697	0.014697	1.212311841070605E-4
8	143.086	15720	0.01572	1.2537942414925983E-4
9	139.849	16821	0.016821	1.2969579792730372E-4
10	136.664	17721	0.017721	1.3312024639400275E-4
11	133.526	18115	0.018115	1.3459197598668355E-4
12	130.467	18419	0.018419	1.3571661652133832E-4
13	127.511	18753	0.018753	1.3694159338929865E-4
14	124.673	18590	0.01859	1.3634515026211968E-4
15	121.932	18190	0.01819	1.3487030807409018E-4
