27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.864 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
1000000 simulated events
247274 hits
total efficiency: 0.2473(5)

Strip	CMtheta	hits	Eff	delEff
0	166.119	5621	0.005621	7.497332859090625E-5
1	163.159	6992	0.006992	8.36181798414675E-5
2	160.081	8687	0.008687	9.320407716403827E-5
3	156.907	10154	0.010154	1.007670581092849E-4
4	153.623	12130	0.01213	1.1013627921806691E-4
5	150.24	13676	0.013676	1.1694443124834974E-4
6	146.804	15557	0.015557	1.2472770341828636E-4
7	143.353	16634	0.016634	1.289728653632228E-4
8	139.885	18057	0.018057	1.343763372026489E-4
9	136.458	19129	0.019129	1.3830762813380902E-4
10	133.068	19707	0.019707	1.403816227289028E-4
11	129.76	20163	0.020163	1.4199647882958227E-4
12	126.572	20624	0.020624	1.4361058456812992E-4
13	123.464	20379	0.020379	1.42755034937476E-4
14	120.492	20257	0.020257	1.4232708807532037E-4
15	117.68	19507	0.019507	1.3966746220934925E-4
