27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.668 MeV
Ex(final 26Al) = 0.417 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
1000000 simulated events
235593 hits
total efficiency: 0.2356(5)

Strip	CMtheta	hits	Eff	delEff
0	166.576	5205	0.005205	7.214568594171102E-5
1	163.688	6570	0.00657	8.105553651663777E-5
2	160.743	8044	0.008044	8.968834929911464E-5
3	157.634	9830	0.00983	9.91463564635635E-5
4	154.439	11176	0.011176	1.0571660229122009E-4
5	151.153	12592	0.012592	1.122140811128443E-4
6	147.837	14361	0.014361	1.1983738982471205E-4
7	144.461	15796	0.015796	1.256821387469198E-4
8	141.083	17056	0.017056	1.3059862173851608E-4
9	137.73	18030	0.01803	1.3427583550289308E-4
10	134.42	18886	0.018886	1.3742634390829147E-4
11	131.195	19597	0.019597	1.3998928530426893E-4
12	128.036	19481	0.019481	1.3957435294494473E-4
13	124.99	19986	0.019986	1.4137185009753533E-4
14	122.069	19805	0.019805	1.407302383995707E-4
15	119.275	19178	0.019178	1.384846561897743E-4
