27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.156 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 1 decay
1000000 simulated events
385640 hits
total efficiency: 0.3856(6)

Strip	CMtheta	hits	Eff	delEff
0	166.589	14740	0.01474	1.2140840168620951E-4
1	163.752	18180	0.01818	1.3483323032546538E-4
2	160.783	21801	0.021801	1.4765161699080713E-4
3	157.706	24632	0.024632	1.569458505345076E-4
4	154.51	27775	0.027775	1.666583331249896E-4
5	151.249	29636	0.029636	1.7215109642404255E-4
6	147.932	30990	0.03099	1.760397682343396E-4
7	144.565	31311	0.031311	1.7694914523670355E-4
8	141.188	31081	0.031081	1.762980430974774E-4
9	137.843	29728	0.029728	1.7241809649801845E-4
10	134.539	27783	0.027783	1.6668233259706922E-4
11	131.321	25169	0.025169	1.5864740779476984E-4
12	128.175	22426	0.022426	1.497531301843137E-4
13	125.139	19543	0.019543	1.3979628035108802E-4
14	122.243	16832	0.016832	1.2973819792181485E-4
15	119.463	14013	0.014013	1.1837651794169315E-4
