19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 11.52 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 2 decay
100000 simulated events
24511 hits
total efficiency: 0.2451(16)

Strip	CMtheta	hits	Eff	delEff
0	163.146	3007	0.03007	5.483611948342078E-4
1	159.495	3244	0.03244	5.695612346359257E-4
2	156.069	3335	0.03335	5.774945887192365E-4
3	152.4	3137	0.03137	5.600892785976178E-4
4	148.624	2782	0.02782	5.274466797696237E-4
5	144.74	2311	0.02311	4.807286136688766E-4
6	140.951	1446	0.01446	3.802630668366309E-4
7	137.189	881	0.00881	2.968164415931166E-4
8	133.611	399	0.00399	1.9974984355438177E-4
9	130.197	93	9.3E-4	9.643650760992955E-5
10	121.426	60	6.0E-4	7.745966692414834E-5
11	118.183	284	0.00284	1.6852299546352717E-4
12	115.21	534	0.00534	2.3108440016582688E-4
13	112.107	843	0.00843	2.9034462281915947E-4
14	108.942	1069	0.01069	3.269556544854363E-4
15	105.61	1086	0.01086	3.2954514106568164E-4
