19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 11.52 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 3.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 2 decay
100000 simulated events
19453 hits
total efficiency: 0.1945(14)

Strip	CMtheta	hits	Eff	delEff
0	162.793	2242	0.02242	4.7349762407006854E-4
1	159.195	2588	0.02588	5.087238936790762E-4
2	155.391	2645	0.02645	5.142956348249516E-4
3	151.603	2400	0.024	4.898979485566356E-4
4	147.55	2154	0.02154	4.6411205543489173E-4
5	143.41	1607	0.01607	4.008740450565489E-4
6	139.381	1059	0.01059	3.254228019054596E-4
7	135.242	560	0.0056	2.3664319132398465E-4
8	131.486	189	0.00189	1.374772708486752E-4
9	128.352	24	2.4E-4	4.8989794855663556E-5
10	121.98	48	4.8E-4	6.92820323027551E-5
11	118.651	209	0.00209	1.4456832294800962E-4
12	115.14	511	0.00511	2.2605309110914628E-4
13	111.715	778	0.00778	2.7892651361962706E-4
14	108.466	1133	0.01133	3.366006535941367E-4
15	105.303	1306	0.01306	3.61386219991853E-4
