12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 3.502 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 1 decay
1000000 simulated events
381443 hits
total efficiency: 0.3814(6)

Strip	CMtheta	hits	Eff	delEff
0	168.08	12391	0.012391	1.11314868728306E-4
1	165.545	15426	0.015426	1.2420144926690672E-4
2	162.879	18612	0.018612	1.3642580401082487E-4
3	160.095	21927	0.021927	1.480776823157359E-4
4	157.207	24325	0.024325	1.5596473960482224E-4
5	154.236	27334	0.027334	1.653299730841326E-4
6	151.181	28876	0.028876	1.6992939710362066E-4
7	148.104	30193	0.030193	1.7376133056580802E-4
8	144.98	30358	0.030358	1.7423547285211468E-4
9	141.864	29959	0.029959	1.730866834854721E-4
10	138.776	29005	0.029005	1.70308543532026E-4
11	135.722	27339	0.027339	1.6534509366775902E-4
12	132.733	25323	0.025323	1.591320206620905E-4
13	129.841	22436	0.022436	1.4978651474682227E-4
14	127.039	20260	0.02026	1.4233762678926467E-4
15	124.334	17679	0.017679	1.3296240070034834E-4
