12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 3.547 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 15.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 2 decay
1000000 simulated events
259596 hits
total efficiency: 0.2596(5)

Strip	CMtheta	hits	Eff	delEff
0	168.156	18593	0.018593	1.3635615130972272E-4
1	165.669	22249	0.022249	1.4916098685648337E-4
2	163.033	25574	0.025574	1.5991872935963442E-4
3	160.286	27645	0.027645	1.6626785618392993E-4
4	157.427	28806	0.028806	1.6972330423368503E-4
5	154.506	28474	0.028474	1.6874240723659242E-4
6	151.489	26579	0.026579	1.6303067196083074E-4
7	148.417	23389	0.023389	1.5293462655657807E-4
8	145.338	19862	0.019862	1.4093260800822498E-4
9	142.249	15251	0.015251	1.2349493916756266E-4
10	139.2	10758	0.010758	1.0372077901751413E-4
11	136.209	6849	0.006849	8.275868534480234E-5
12	133.324	3644	0.003644	6.036555309114628E-5
13	130.554	1522	0.001522	3.901281840626232E-5
14	128.339	308	3.08E-4	1.7549928774784245E-5
15	123.917	93	9.3E-5	9.643650760992955E-6
