12C(3He,2H)13N(1H)12C
Ex(residual 13N) = 2.365 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 2H) = 3.0 degrees
Target Thickness = 20.0 ug/cm^2
l = 0 decay
1000000 simulated events
178820 hits
total efficiency: 0.1788(4)

Strip	CMtheta	hits	Eff	delEff
0	169.398	3355	0.003355	5.792236183029832E-5
1	167.203	4262	0.004262	6.528399497579786E-5
2	164.892	5366	0.005366	7.325298628724976E-5
3	162.418	6431	0.006431	8.019351594736323E-5
4	159.857	7736	0.007736	8.795453370918408E-5
5	157.183	8841	0.008841	9.402659198333203E-5
6	154.428	10259	0.010259	1.0128672173587218E-4
7	151.639	11415	0.011415	1.0684100336481308E-4
8	148.768	12617	0.012617	1.1232542009714454E-4
9	145.941	13718	0.013718	1.1712386605641054E-4
10	143.088	14438	0.014438	1.2015822901491184E-4
11	140.229	15161	0.015161	1.2313001258832063E-4
12	137.456	16085	0.016085	1.268266533501535E-4
13	134.706	16367	0.016367	1.2793357651531517E-4
14	132.045	16278	0.016278	1.2758526560696578E-4
15	129.473	16491	0.016491	1.284172885557081E-4
