19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 11.052 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 2 decay
100000 simulated events
19783 hits
total efficiency: 0.1978(14)

Strip	CMtheta	hits	Eff	delEff
0	163.057	2347	0.02347	4.8445846055157295E-4
1	159.289	2529	0.02529	5.028916384272064E-4
2	155.959	2536	0.02536	5.035871324805669E-4
3	152.137	2437	0.02437	4.936598018878993E-4
4	148.347	2165	0.02165	4.652956049652737E-4
5	144.47	1677	0.01677	4.0951190458886545E-4
6	140.552	1087	0.01087	3.296968304366907E-4
7	136.912	582	0.00582	2.4124676163629638E-4
8	133.484	256	0.00256	1.6E-4
9	128.948	56	5.6E-4	7.483314773547883E-5
10	120.185	66	6.6E-4	8.12403840463596E-5
11	117.45	269	0.00269	1.6401219466856726E-4
12	114.34	510	0.0051	2.258317958127243E-4
13	111.185	821	0.00821	2.8653097563788803E-4
14	108.089	1128	0.01128	3.358571124749333E-4
15	105	1317	0.01317	3.629049462324811E-4
