27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.486 MeV
Ex(final 26Al) = 0.228 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
100000 simulated events
23767 hits
total efficiency: 0.2377(15)

Strip	CMtheta	hits	Eff	delEff
0	166.558	533	0.00533	2.3086792761230392E-4
1	163.644	685	0.00685	2.6172504656604803E-4
2	160.636	801	0.00801	2.830194339616981E-4
3	157.542	1014	0.01014	3.1843366656181314E-4
4	154.418	1163	0.01163	3.410278580995987E-4
5	151.073	1320	0.0132	3.6331804249169897E-4
6	147.726	1455	0.01455	3.81444622455213E-4
7	144.349	1585	0.01585	3.9812058474788766E-4
8	140.986	1735	0.01735	4.165333119931706E-4
9	137.647	1895	0.01895	4.353159771935783E-4
10	134.32	1897	0.01897	4.3554563480765134E-4
11	131.048	1920	0.0192	4.381780460041329E-4
12	127.873	2010	0.0201	4.483302354291979E-4
13	124.843	1927	0.01927	4.389760813529594E-4
14	121.97	1906	0.01906	4.3657759905886144E-4
15	119.155	1921	0.01921	4.3829214001622253E-4
