27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.486 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
100000 simulated events
24256 hits
total efficiency: 0.2426(16)

Strip	CMtheta	hits	Eff	delEff
0	166.346	554	0.00554	2.353720459187964E-4
1	163.394	686	0.00686	2.619160170741759E-4
2	160.334	833	0.00833	2.886173937932362E-4
3	157.181	1048	0.01048	3.2372828112477294E-4
4	153.984	1168	0.01168	3.4176014981270123E-4
5	150.596	1359	0.01359	3.6864617182333527E-4
6	147.213	1491	0.01491	3.8613469152615643E-4
7	143.8	1632	0.01632	4.039801975344831E-4
8	140.374	1808	0.01808	4.25205832509386E-4
9	136.983	1927	0.01927	4.389760813529594E-4
10	133.648	1880	0.0188	4.3358966777357603E-4
11	130.379	1985	0.01985	4.4553338819890923E-4
12	127.171	2048	0.02048	4.5254833995939044E-4
13	124.101	1968	0.01968	4.436214602563767E-4
14	121.139	1972	0.01972	4.4407206622349034E-4
15	118.336	1897	0.01897	4.3554563480765134E-4
