27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.984 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
100000 simulated events
24840 hits
total efficiency: 0.2484(16)

Strip	CMtheta	hits	Eff	delEff
0	166.122	564	0.00564	2.3748684174075834E-4
1	163.104	718	0.00718	2.6795522013948526E-4
2	159.969	870	0.0087	2.949576240750525E-4
3	156.784	1070	0.0107	3.271085446759225E-4
4	153.542	1201	0.01201	3.465544690232692E-4
5	150.145	1414	0.01414	3.7603191353926337E-4
6	146.685	1528	0.01528	3.908964057138413E-4
7	143.234	1680	0.0168	4.0987803063838394E-4
8	139.783	1866	0.01866	4.3197222132910357E-4
9	136.34	1961	0.01961	4.428317965096906E-4
10	132.921	1915	0.01915	4.3760712974082134E-4
11	129.649	1996	0.01996	4.4676615807377355E-4
12	126.463	2088	0.02088	4.5694638635183454E-4
13	123.329	2007	0.02007	4.4799553569204234E-4
14	120.351	1994	0.01994	4.4654227123532215E-4
15	117.519	1968	0.01968	4.436214602563767E-4
