27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.486 MeV
Ex(final 26Al) = 0.417 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 170.0 ug/cm^2
l = 0 decay
100000 simulated events
23146 hits
total efficiency: 0.2315(15)

Strip	CMtheta	hits	Eff	delEff
0	166.874	515	0.00515	2.2693611435820434E-4
1	163.999	673	0.00673	2.5942243542145696E-4
2	161	748	0.00748	2.734958866235469E-4
3	158.022	968	0.00968	3.111269837220809E-4
4	154.872	1143	0.01143	3.380828300875393E-4
5	151.615	1249	0.01249	3.5341194094144583E-4
6	148.344	1420	0.0142	3.768288736283355E-4
7	145.035	1537	0.01537	3.9204591567825316E-4
8	141.659	1718	0.01718	4.144876355212541E-4
9	138.351	1838	0.01838	4.287190222045204E-4
10	135.109	1850	0.0185	4.3011626335213136E-4
11	131.881	1864	0.01864	4.3174066289845803E-4
12	128.782	1908	0.01908	4.368065933568311E-4
13	125.807	1947	0.01947	4.412482294582042E-4
14	122.896	1874	0.01874	4.328972164382672E-4
15	120.107	1894	0.01894	4.3520110293977885E-4
