19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 12.049 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 0 decay
1000000 simulated events
320158 hits
total efficiency: 0.3202(6)

Strip	CMtheta	hits	Eff	delEff
0	162.988	8171	0.008171	9.039358384310249E-5
1	159.496	10202	0.010202	1.010049503737317E-4
2	155.846	12286	0.012286	1.1084223021935277E-4
3	152.04	14758	0.014758	1.2148250902907794E-4
4	148.173	16919	0.016919	1.3007305639524275E-4
5	144.213	19139	0.019139	1.3834377470634522E-4
6	140.207	20891	0.020891	1.4453719244540486E-4
7	136.192	22789	0.022789	1.5096025967121281E-4
8	132.199	23739	0.023739	1.5407465722824112E-4
9	128.266	24772	0.024772	1.5739123228439378E-4
10	124.477	25295	0.025295	1.590440190639057E-4
11	120.747	25291	0.025291	1.5903144343179434E-4
12	117.195	24957	0.024957	1.5797784654817903E-4
13	113.772	24425	0.024425	1.5628499608087785E-4
14	110.54	23637	0.023637	1.5374329253661767E-4
15	107.441	22887	0.022887	1.512845001974756E-4
