19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 9.844 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 2 decay
1000000 simulated events
284990 hits
total efficiency: 0.2850(5)

Strip	CMtheta	hits	Eff	delEff
0	162.035	33694	0.033694	1.8355925473808178E-4
1	158.607	36129	0.036129	1.9007630046904847E-4
2	154.962	35685	0.035685	1.88904737897174E-4
3	151.243	32519	0.032519	1.8033025259229246E-4
4	147.354	27117	0.027117	1.6467240205936148E-4
5	143.61	19968	0.019968	1.4130817386124556E-4
6	139.717	12184	0.012184	1.1038115781237303E-4
7	136.191	6071	0.006071	7.791662210337407E-5
8	132.206	2256	0.002256	4.7497368348151666E-5
9	122.584	1196	0.001196	3.4583232931581166E-5
10	116.947	2800	0.0028	5.291502622129181E-5
11	114.345	6439	0.006439	8.024337978923868E-5
12	111.293	11048	0.011048	1.051094667477673E-4
13	108.157	15774	0.015774	1.2559458587057008E-4
14	105.014	19539	0.019539	1.3978197308666093E-4
15	102.008	22571	0.022571	1.5023648025696022E-4
