27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.287 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
238058 hits
total efficiency: 0.2381(5)

Strip	CMtheta	hits	Eff	delEff
0	166.413	5229	0.005229	7.23118247591637E-5
1	163.549	6719	0.006719	8.196950652529268E-5
2	160.583	8222	0.008222	9.067524469225324E-5
3	157.448	9728	0.009728	9.863062404750361E-5
4	154.249	11344	0.011344	1.0650821564555479E-4
5	150.946	12917	0.012917	1.1365298060323803E-4
6	147.593	14640	0.01464	1.209958676980334E-4
7	144.193	16042	0.016042	1.2665701717630965E-4
8	140.801	17235	0.017235	1.3128213892224638E-4
9	137.416	18398	0.018398	1.3563922736435798E-4
10	134.089	18970	0.01897	1.3773162309360914E-4
11	130.83	19557	0.019557	1.3984634424967998E-4
12	127.663	20105	0.020105	1.4179210133149166E-4
13	124.619	20285	0.020285	1.4242541907960108E-4
14	121.702	19510	0.01951	1.396782015920881E-4
15	118.901	19157	0.019157	1.3840881474819441E-4
