27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.724 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
245072 hits
total efficiency: 0.2451(5)

Strip	CMtheta	hits	Eff	delEff
0	166.142	5580	0.00558	7.46993975879324E-5
1	163.232	6964	0.006964	8.345058418010026E-5
2	160.181	8779	0.008779	9.369631796394136E-5
3	157.004	10005	0.010005	1.00024996875781E-4
4	153.711	12008	0.012008	1.095810202544218E-4
5	150.345	13593	0.013593	1.1658902178164118E-4
6	146.958	15051	0.015051	1.2268251709188232E-4
7	143.493	16431	0.016431	1.2818346227185472E-4
8	140.056	17930	0.01793	1.3390294993016397E-4
9	136.621	18598	0.018598	1.3637448441699055E-4
10	133.25	19673	0.019673	1.4026047197981332E-4
11	129.952	20060	0.02006	1.4163332941084173E-4
12	126.755	20326	0.020326	1.4256928140381434E-4
13	123.683	20235	0.020235	1.4224978031617482E-4
14	120.719	20379	0.020379	1.42755034937476E-4
15	117.875	19460	0.01946	1.3949910393977447E-4
