27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.0319 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
231216 hits
total efficiency: 0.2312(5)

Strip	CMtheta	hits	Eff	delEff
0	166.749	5034	0.005034	7.095068710026704E-5
1	163.942	6588	0.006588	8.11664955508121E-5
2	161.026	7983	0.007983	8.934763567101258E-5
3	157.965	9453	0.009453	9.72265395866787E-5
4	154.815	11158	0.011158	1.0563143471523995E-4
5	151.591	12314	0.012314	1.109684639886486E-4
6	148.308	14197	0.014197	1.1915116449284077E-4
7	144.97	15380	0.01538	1.2401612798341996E-4
8	141.636	16509	0.016509	1.2848735346328836E-4
9	138.3	17572	0.017572	1.3255942063844427E-4
10	135.036	18586	0.018586	1.36330480817754E-4
11	131.81	18946	0.018946	1.3764446955835167E-4
12	128.701	19487	0.019487	1.3959584521037866E-4
13	125.701	19446	0.019446	1.3944891537763927E-4
14	122.778	19411	0.019411	1.3932336487466844E-4
15	119.994	19152	0.019152	1.3839075113604955E-4
