27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.669 MeV
Ex(final 26Al) = 0.0 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
244199 hits
total efficiency: 0.2442(5)

Strip	CMtheta	hits	Eff	delEff
0	166.17	5570	0.00557	7.463243262818116E-5
1	163.262	6903	0.006903	8.308429454475736E-5
2	160.2	8600	0.0086	9.273618495495704E-5
3	157.028	10122	0.010122	1.0060815076324582E-4
4	153.752	11852	0.011852	1.0886689120205463E-4
5	150.41	13405	0.013405	1.1577996372429904E-4
6	146.996	15102	0.015102	1.2289019488958425E-4
7	143.551	16526	0.016526	1.2855349081219072E-4
8	140.115	17725	0.017725	1.331352695569435E-4
9	136.698	18539	0.018539	1.3615799645999495E-4
10	133.327	19434	0.019434	1.394058822288357E-4
11	130.034	20184	0.020184	1.4207040508142432E-4
12	126.842	20308	0.020308	1.4250614021858848E-4
13	123.766	20341	0.020341	1.426218777046495E-4
14	120.798	20054	0.020054	1.4161214637170076E-4
15	117.984	19534	0.019534	1.3976408694654004E-4
