27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.669 MeV
Ex(final 26Al) = 0.417 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
235890 hits
total efficiency: 0.2359(5)

Strip	CMtheta	hits	Eff	delEff
0	166.523	5292	0.005292	7.274613391789285E-5
1	163.707	6634	0.006634	8.144937077718895E-5
2	160.745	8084	0.008084	8.99110671719561E-5
3	157.614	9678	0.009678	9.837682653958705E-5
4	154.437	11263	0.011263	1.061272820720478E-4
5	151.158	12968	0.012968	1.1387712676389407E-4
6	147.836	14227	0.014227	1.1927698856024157E-4
7	144.47	15928	0.015928	1.26206180514268E-4
8	141.099	17157	0.017157	1.3098473193468008E-4
9	137.743	18231	0.018231	1.3502222039353377E-4
10	134.398	18902	0.018902	1.3748454458592792E-4
11	131.185	19459	0.019459	1.3949551964131322E-4
12	128.044	19664	0.019664	1.4022838514366484E-4
13	124.998	19784	0.019784	1.4065560778013793E-4
14	122.047	19463	0.019463	1.3950985628262972E-4
15	119.28	19156	0.019156	1.3840520221436765E-4
