27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.984 MeV
Ex(final 26Al) = 0.417 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
241439 hits
total efficiency: 0.2414(5)

Strip	CMtheta	hits	Eff	delEff
0	166.3	5423	0.005423	7.364102117705865E-5
1	163.409	6771	0.006771	8.228608630868282E-5
2	160.377	8447	0.008447	9.190756225686764E-5
3	157.226	9961	0.009961	9.980480950335009E-5
4	153.981	11897	0.011897	1.0907336980216573E-4
5	150.67	13369	0.013369	1.1562439189029278E-4
6	147.259	14744	0.014744	1.2142487389328431E-4
7	143.848	16216	0.016216	1.2734205903785286E-4
8	140.427	17502	0.017502	1.3229512462672235E-4
9	137.036	18421	0.018421	1.3572398461583713E-4
10	133.683	19272	0.019272	1.3882362911262622E-4
11	130.406	19920	0.01992	1.4113823011501883E-4
12	127.235	20186	0.020186	1.420774436706967E-4
13	124.147	20040	0.02004	1.415627069534911E-4
14	121.215	19829	0.019829	1.4081548210335396E-4
15	118.398	19441	0.019441	1.3943098651304162E-4
