27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.45 MeV
Ex(final 26Al) = 0.417 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
228632 hits
total efficiency: 0.2286(5)

Strip	CMtheta	hits	Eff	delEff
0	166.837	4878	0.004878	6.98426803609369E-5
1	164.048	6361	0.006361	7.975587752636166E-5
2	161.148	7650	0.00765	8.746427842267951E-5
3	158.104	9247	0.009247	9.61613227862429E-5
4	154.983	10949	0.010949	1.0463746938836011E-4
5	151.785	12714	0.012714	1.1275637454263949E-4
6	148.507	13681	0.013681	1.1696580696938743E-4
7	145.188	15133	0.015133	1.2301625908797583E-4
8	141.858	16533	0.016533	1.2858071395042102E-4
9	138.573	17638	0.017638	1.32808132281122E-4
10	135.296	18576	0.018576	1.3629380029920657E-4
11	132.094	19061	0.019061	1.3806158046321214E-4
12	128.985	19037	0.019037	1.3797463535012515E-4
13	125.976	19124	0.019124	1.3828955130450022E-4
14	123.077	19155	0.019155	1.3840158958624717E-4
15	120.299	18895	0.018895	1.3745908482162974E-4
