19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 12.049 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 0 decay
1000000 simulated events
302929 hits
total efficiency: 0.3029(6)

Strip	CMtheta	hits	Eff	delEff
0	163.695	7434	0.007434	8.622064717919948E-5
1	160.41	9269	0.009269	9.627564593395362E-5
2	156.936	11223	0.011223	1.0593866149805746E-4
3	153.308	13351	0.013351	1.1554652742510265E-4
4	149.635	15540	0.01554	1.2465953633797937E-4
5	145.846	17389	0.017389	1.3186735759845953E-4
6	142.032	19631	0.019631	1.4011067054296757E-4
7	138.122	20876	0.020876	1.4448529336925608E-4
8	134.315	22484	0.022484	1.499466571818125E-4
9	130.456	23336	0.023336	1.5276125163142648E-4
10	126.753	23889	0.023889	1.5456066770042111E-4
11	123.136	24463	0.024463	1.5640652160316078E-4
12	119.595	24190	0.02419	1.5553134732265389E-4
13	116.208	24037	0.024037	1.5503870484495156E-4
14	112.972	23227	0.023227	1.5240406818717146E-4
15	109.888	22590	0.02259	1.5029970059850418E-4
