19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 11.52 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 2 decay
1000000 simulated events
253021 hits
total efficiency: 0.2530(5)

Strip	CMtheta	hits	Eff	delEff
0	163.753	29176	0.029176	1.708098357823694E-4
1	160.507	32676	0.032676	1.8076504086797314E-4
2	157.09	33473	0.033473	1.8295627893024057E-4
3	153.614	32373	0.032373	1.7992498436848617E-4
4	150.024	29081	0.029081	1.7053152201279386E-4
5	146.259	24277	0.024277	1.558107826820724E-4
6	142.618	17820	0.01782	1.334915727677219E-4
7	138.943	11345	0.011345	1.0651291001564083E-4
8	135.439	5914	0.005914	7.690253571892151E-5
9	132.295	2198	0.002198	4.688283267892417E-5
10	127.457	574	5.74E-4	2.3958297101421878E-5
11	119.881	1019	0.001019	3.192177939902474E-5
12	117.36	3256	0.003256	5.706137047074842E-5
13	114.446	6214	0.006214	7.882892870006543E-5
14	111.502	10132	0.010132	1.0065783625729295E-4
15	108.571	13493	0.013493	1.1615937327654623E-4
