175.11306586084092 channels per MeV
6.548263144191014 channels per nsec
Det	Strip	eOffset	eGain	eFactor	tOffset	tGain	tFactor
0	0	125.52318729400814	397.2921490111824	0.4407664895887789	1503.7238617032144	6.818481331986206	0.9603697400288287
0	1	148.7930947937315	395.4295680596888	0.44284261978711764	1556.7861460025736	6.749123898015744	0.970238988517638
0	2	127.42661395531304	385.3722402294448	0.45439979215052245	1591.2283270117455	6.824565363581037	0.9595135800347819
0	3	120.93922798396292	396.7706146985808	0.4413458541879948	1603.875815287944	6.865023143821516	0.9538588591772507
0	4	138.64318292469858	394.4741097083476	0.4439152318267727	1548.5950619727334	6.764025299525755	0.9681015156241554
0	5	92.50201	456.277	0.38378674765732423	1521.0055143044724	6.63225871202716	0.9873352998603891
0	6	153.333126909399	394.2159320405414	0.4442059582788049	1530.3468445449196	6.807232966463332	0.9619566682162687
0	7	107.97430014544936	392.8151157648863	0.44579003921440813	1541.2719134519195	6.902852194717515	0.9486315162886069
0	8	118.63661502091091	383.47328507492125	0.456649974525939	1499.5852590184932	6.735460732717099	0.9722071591009678
0	9	128.98708096001926	394.7752417366181	0.44357661612850324	0.0	0.0	0.0
0	10	124.11310406514302	398.9779682780744	0.4389040994333625	1473.3917010490165	6.703737557383198	0.97680780134047
0	11	137.00740623544638	381.42300499263723	0.45910462549111636	1554.690557839485	6.953674253202427	0.9416982886673608
0	12	120.76561661669749	374.061569798535	0.46813968608203904	1924.8476515330308	7.939557678094365	0.8247642261303798
0	13	111.8216040943658	392.3090722704764	0.44636506835638434	1557.3058663084275	6.816394027473082	0.9606638228069883
0	14	106.06963662756786	384.0616880980913	0.45595036237021425	1520.8160515486159	6.717283841774178	0.9748379402204148
0	15	124.27038070308893	399.34577872478974	0.4384998544870574	1552.7666986512095	6.891268680359505	0.950226068365891
1	0	112.8008465429668	422.85426728815264	0.4141215529971481	1701.3263914916813	6.919165039748288	0.9463949922531741
1	1	118.90985726283675	377.1799657536959	0.4642692660277517	1651.556168443208	6.905113692547577	0.9483208294250538
1	2	157.12216203724913	390.74359180871693	0.44815339146128613	1657.0057038243967	6.872409244499895	0.9528337023048649
1	3	114.3433	443.66717	0.3946946668621907	1627.7441641432908	6.8574479340119865	0.9549125574417475
1	4	150.96735691473629	388.0601853468301	0.4512523378411857	1651.7073489945635	6.581636233379179	0.994929362850698
1	5	149.72314201936757	392.48972198814937	0.44615962164259726	1631.605692499029	6.933404002315663	0.9444514039574188
1	6	165.260511351564	389.02218134154947	0.4501364556050778	1557.3930182675215	6.765679187869254	0.9678648606235922
1	7	145.01597415397046	407.0627012504461	0.43018695970649073	1618.1022101104056	6.844843994604046	0.9566709116165637
1	8	139.06364796269	375.9498261685395	0.46578839427987173	1671.7738850044414	6.8415128381622825	0.9571367180171748
1	9	148.9376869746228	389.7494804082611	0.4492964703311744	1556.9208725617593	6.652730268231517	0.9842971051239879
1	10	142.94189470731726	399.37372835971155	0.4384691666626566	1610.9987039227126	6.755779544052756	0.9692831303170005
1	11	129.6590651757681	394.8065260561267	0.4435414672855392	1675.5107115881256	6.841523684019254	0.9571352006698082
1	12	158.65262429269077	365.62993606205345	0.47893525280468646	1698.7521403426458	6.806330430568623	0.9620842259995818
1	13	116.24097574009096	374.8697766191848	0.46713039242619786	1486.5559201083345	6.548263144191014	1.0
1	14	131.55326463895636	374.8157536664007	0.46719772087460804	1579.4065860868345	6.674346760159549	0.9811092200481473
1	15	121.47589650405996	408.3224735224027	0.42885973027696533	1679.124281332956	6.844246047515587	0.9567544911054137
2	0	136.45612901792157	340.4142686050083	0.5144116507760996	1448.4798483763939	6.9631959830519	0.940410575851834
2	1	123.00174131807935	175.11306586084092	1.0	0.0	0.0	0.0
2	2	135.16340837939757	312.42786033497686	0.5604911984260601	1528.0415461874006	7.016989049724539	0.9332012773267866
2	3	146.01978477259613	316.4579838675028	0.5533532879175477	1492.6575381545351	6.908441769540777	0.947863984764584
