27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.3758 MeV
Ex(final 26Al) = 0.228 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
233712 hits
total efficiency: 0.2337(5)

Strip	CMtheta	hits	Eff	delEff
0	166.637	5021	0.005021	7.085901495222749E-5
1	163.818	6558	0.006558	8.09814793641114E-5
2	160.847	7838	0.007838	8.853247991556544E-5
3	157.783	9543	0.009543	9.768827974736785E-5
4	154.601	11350	0.01135	1.0653637876331258E-4
5	151.339	12711	0.012711	1.1274307074051158E-4
6	148.003	14334	0.014334	1.197246841716444E-4
7	144.664	15692	0.015692	1.2526771331831677E-4
8	141.328	16836	0.016836	1.2975361266646875E-4
9	137.973	18171	0.018171	1.3479985163196583E-4
10	134.664	18651	0.018651	1.3656866404852908E-4
11	131.434	19325	0.019325	1.3901438774457844E-4
12	128.298	19636	0.019636	1.4012851244482686E-4
13	125.262	19442	0.019442	1.3943457247038842E-4
14	122.362	19393	0.019393	1.392587519691312E-4
15	119.557	19211	0.019211	1.3860375175297384E-4
