27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.2081 MeV
Ex(final 26Al) = 0.228 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
227877 hits
total efficiency: 0.2279(5)

Strip	CMtheta	hits	Eff	delEff
0	166.849	4934	0.004934	7.024243731534378E-5
1	164.119	6349	0.006349	7.968061244744546E-5
2	161.218	7528	0.007528	8.676404785393545E-5
3	158.205	9319	0.009319	9.653496775780267E-5
4	155.091	10733	0.010733	1.0360019305001319E-4
5	151.887	12289	0.012289	1.1085576214162258E-4
6	148.633	13978	0.013978	1.182285921425101E-4
7	145.321	15166	0.015166	1.2315031465652047E-4
8	142.012	16400	0.0164	1.2806248474865698E-4
9	138.705	17365	0.017365	1.317763256431139E-4
10	135.459	18264	0.018264	1.351443672522092E-4
11	132.272	18940	0.01894	1.3762267255071017E-4
12	129.165	19259	0.019259	1.3877679921370142E-4
13	126.168	19225	0.019225	1.386542462386205E-4
14	123.276	18996	0.018996	1.378259772321604E-4
15	120.512	19132	0.019132	1.3831847309741385E-4
