27Al(3He,3H)27Si(1H)26Al
Ex(residual 27Si) = 8.287 MeV
Ex(final 26Al) = 0.228 MeV
Theta(projectile 3H) = 3.0 degrees
Target Thickness = 150.0 ug/cm^2
l = 0 decay
1000000 simulated events
231358 hits
total efficiency: 0.2314(5)

Strip	CMtheta	hits	Eff	delEff
0	166.749	4989	0.004989	7.063285354564121E-5
1	163.957	6468	0.006468	8.04238770515324E-5
2	161.056	7827	0.007827	8.847033401089883E-5
3	157.997	9431	0.009431	9.711333585043818E-5
4	154.841	11162	0.011162	1.0565036677645753E-4
5	151.602	12560	0.01256	1.120714058089752E-4
6	148.312	14165	0.014165	1.1901680553602504E-4
7	144.989	15444	0.015444	1.2427389106324787E-4
8	141.643	16721	0.016721	1.2930970574554719E-4
9	138.319	17771	0.017771	1.3330791424367872E-4
10	135.052	18586	0.018586	1.36330480817754E-4
11	131.84	19156	0.019156	1.3840520221436765E-4
12	128.717	19254	0.019254	1.3875878350576586E-4
13	125.693	19396	0.019396	1.3926952286842949E-4
14	122.792	19280	0.01928	1.3885243966167826E-4
15	120.007	19148	0.019148	1.3837629854855925E-4
