19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 10.356 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 4 decay
1000000 simulated events
255364 hits
total efficiency: 0.2554(5)

Strip	CMtheta	hits	Eff	delEff
0	164.274	24999	0.024999	1.581107206991354E-4
1	161.505	17524	0.017524	1.323782459469833E-4
2	158.444	9405	0.009405	9.697937925146768E-5
3	151.919	4726	0.004726	6.874590896918885E-5
4	142.305	6041	0.006041	7.772387020729219E-5
5	139.016	13568	0.013568	1.164817582284883E-4
6	136.416	23857	0.023857	1.5445711378890906E-4
7	133.328	33189	0.033189	1.8217848391069677E-4
8	129.984	36351	0.036351	1.9065938214522777E-4
9	126.616	32797	0.032797	1.810994202089007E-4
10	123.31	24560	0.02456	1.5671630419327788E-4
11	120.117	14717	0.014717	1.213136430909566E-4
12	117.274	6471	0.006471	8.044252606675153E-5
13	114.144	1880	0.00188	4.33589667773576E-5
14	106.561	1354	0.001354	3.67967389859482E-5
15	103.803	3925	0.003925	6.264982043070834E-5
