19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 11.52 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 2 decay
1000000 simulated events
239606 hits
total efficiency: 0.2396(5)

Strip	CMtheta	hits	Eff	delEff
0	162.674	30651	0.030651	1.7507426995421116E-4
1	159.242	33363	0.033363	1.8265541327866524E-4
2	155.704	32983	0.032983	1.8161222425817046E-4
3	152.059	31023	0.031023	1.7613347211702834E-4
4	148.321	26392	0.026392	1.6245614792921811E-4
5	144.612	21119	0.021119	1.4532377644418685E-4
6	140.892	14190	0.01419	1.191217864204529E-4
7	137.279	8366	0.008366	9.146584061823299E-5
8	133.902	3814	0.003814	6.175759062657804E-5
9	130.791	1116	0.001116	3.3406586176980136E-5
10	122.893	499	4.99E-4	2.2338307903688676E-5
11	118.807	1626	0.001626	4.032369030731191E-5
12	116.314	4036	0.004036	6.352952069707436E-5
13	113.469	6995	0.006995	8.363611660042568E-5
14	110.652	10283	0.010283	1.014051280754578E-4
15	107.874	13150	0.01315	1.1467344941179716E-4
