19F(1H,4He)16O(4He)12C
Ex(residual 16O) = 9.844 MeV
Ex(final 12C) = 0.0 MeV
Theta(projectile 4He) = 15.0 degrees
Target Thickness = 120.0 ug/cm^2
l = 2 decay
1000000 simulated events
259158 hits
total efficiency: 0.2592(5)

Strip	CMtheta	hits	Eff	delEff
0	161.658	33158	0.033158	1.8209338263649232E-4
1	158.251	34805	0.034805	1.86560981987124E-4
2	154.595	33898	0.033898	1.841140950606444E-4
3	150.925	30603	0.030603	1.749371315644566E-4
4	147.105	25230	0.02523	1.5883954167649817E-4
5	143.436	18504	0.018504	1.3602940858505562E-4
6	139.696	11351	0.011351	1.0654107189248662E-4
7	136.296	5800	0.0058	7.615773105863909E-5
8	132.638	2258	0.002258	4.751841748206689E-5
9	124.108	1086	0.001086	3.295451410656816E-5
10	117.458	2119	0.002119	4.603259714593562E-5
11	115.106	4874	0.004874	6.981403870282825E-5
12	112.268	8527	0.008527	9.23417565351667E-5
13	109.444	12416	0.012416	1.1142710621747296E-4
14	106.508	15981	0.015981	1.2641598000252976E-4
15	103.682	18548	0.018548	1.3619104228986575E-4
